"Time [ms]","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='66'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='66'"
0,-3.60197770017271E-006,-1.30112960906798E-005,-7.01343816615261E-006,-2.53151229881094E-005,-1.4254513490585E-005,-5.16707168801036E-005
4,-3.82946864946565E-006,-1.38179426284323E-005,-7.45742899876878E-006,-2.68565671887397E-005,-1.50530620200042E-005,-5.48994666894552E-005
8,-4.07889628894749E-006,-1.47180243268891E-005,-7.94374600883907E-006,-2.86858094398812E-005,-1.60610307357328E-005,-5.84914872051132E-005
12,-4.36392101019072E-006,-1.56965414847534E-005,-8.45607019404748E-006,-3.05670620294686E-005,-1.71119563643069E-005,-6.20128371911881E-005
16,-4.69084840962097E-006,-1.67345718496886E-005,-9.03090718404466E-006,-3.26337995525183E-005,-1.82910944545824E-005,-6.56922307713754E-005
20,-4.96566015294231E-006,-1.79195793662029E-005,-9.62980276007882E-006,-3.48638856840043E-005,-1.95161257986401E-005,-7.03317558343937E-005
24,-5.3638835234566E-006,-1.91548474513881E-005,-1.03157596993404E-005,-3.71811594268047E-005,-2.08755505985527E-005,-7.51673563221151E-005
28,-5.68196090535562E-006,-2.04705363737539E-005,-1.10550416929783E-005,-3.99127916427843E-005,-2.22916854389443E-005,-8.06084593623222E-005
32,-6.14815407949493E-006,-2.19674121419058E-005,-1.1852164494064E-005,-4.27900483400178E-005,-2.40020172872379E-005,-8.63536298283643E-005
36,-6.59158014132534E-006,-2.35625713566996E-005,-1.27215574829961E-005,-4.57573851166773E-005,-2.57657100142034E-005,-9.23166596645846E-005
40,-7.06576227687654E-006,-2.529269549056E-005,-1.36558535816419E-005,-4.91392929685888E-005,-2.76719003881793E-005,-9.91420376068485E-005
44,-7.64176181894993E-006,-2.72125823090378E-005,-1.47723261406633E-005,-5.28884105755721E-005,-2.97953183227113E-005,-0.000106765298261116
48,-8.13640710155599E-006,-2.93155326401587E-005,-1.58590692624248E-005,-5.71657930749427E-005,-3.21424918092264E-005,-0.000116485419141596
52,-8.80073264537243E-006,-3.166114100208E-005,-1.7170162264544E-005,-6.17051432258117E-005,-3.46698465755581E-005,-0.000125579395188101
56,-9.49982569852539E-006,-3.41126815083747E-005,-1.84435529050813E-005,-6.64771796004039E-005,-3.74452652623962E-005,-0.000135243615669513
60,-1.02682778067393E-005,-3.68531473886994E-005,-2.00483437412722E-005,-7.19142294871499E-005,-4.04960743345445E-005,-0.000145390961893499
64,-1.11899130341455E-005,-3.9985479529131E-005,-2.15136547687183E-005,-7.78383577254828E-005,-4.38786369087716E-005,-0.000156801804734621
68,-1.21491412701666E-005,-4.33425995382655E-005,-2.33580353363704E-005,-8.4190177697365E-005,-4.76585650944239E-005,-0.000171074459727538
72,-1.31825404967899E-005,-4.70864377409495E-005,-2.54799871280625E-005,-9.13964988645078E-005,-5.16006323041069E-005,-0.00018514250104044
