,N_r='21' N_z='55'
0,0.000459369223010908
1,0.00047565169946779803
2,0.0004961422692291661
3,0.000518397986162922
4,0.000541844051519709
5,0.00056632017883458
6,0.000591954803838725
7,0.000618817731883752
8,0.0006468084170228469
9,0.000676619884304142
10,0.000707900844152071
11,0.000740579987226217
12,0.000774781215809449
13,0.0008108086938339571
14,0.0008491184234770571
15,0.0008900370178494381
16,0.000933616631748822
17,0.0009798271448372212
18,0.0010287051933041199
19,0.00108039132614275
20,0.00113496624019918
21,0.0011923474038507099
22,0.00125266990670369
23,0.00131623840146865
24,0.00138252374121655
25,0.00145327694922902
26,0.00152782374778855
27,0.0016059013375990699
28,0.00168763190442174
29,0.00177362305250403
30,0.00186535132374921
31,0.0019643600357847697
32,0.00207131748533817
33,0.0021863200893756
34,0.0023094134555612803
35,0.0024410525469401602
36,0.0025817697646729997
37,0.00273116112128205
38,0.00288897155246937
39,0.0030566804891086602
40,0.00323511205589052
41,0.0034245643169390897
42,0.0036277258182136705
43,0.0038444688499888603
44,0.00407552779624588
45,0.00432253268225068
46,0.0045881672514243
47,0.0048740617927976295
48,0.0051804700348970795
49,0.0055071065618956605
50,0.0058545421681554
51,0.00622500018321636
52,0.0066223169716099995
53,0.0070467944293378295
54,0.0074993977354433
55,0.007981830281472679
56,0.00849601432136065
57,0.00904294607129092
58,0.009623459805990879
59,0.0102393456732044
60,0.0108925624653348
61,0.0115776569468806
62,0.0122954591609804
63,0.0130448861935027
64,0.0138188713879557
65,0.0146128894677557
66,0.0154236851645731
67,0.0162441606242952
68,0.0170704046732091
69,0.0178949566298515
70,0.0187102439648269
71,0.0195104967901554
72,0.0202915128686534
73,0.021046568868839
74,0.0217681914168947
75,0.0224491630807002
76,0.0230846014451858
77,0.0236681635170607
78,0.0241913423558039
79,0.0246441307908741
80,0.0250224358207372
81,0.0253263072489226
82,0.0255513974212113
83,0.025695211030193
84,0.0257598787507612
85,0.0257464568439024
86,0.025652327352185002
87,0.025475170412909
88,0.0252134263932839
89,0.0248778169837022
90,0.0244675052534698
91,0.0239806142738318
92,0.0234176994663839
93,0.0228034718367383
94,0.0221336241072434
95,0.0214199771442928
96,0.0206828859939037
97,0.0199298194088691
98,0.0191588315353372
99,0.0183664939600274
100,0.0175541499697054
101,0.0167292883632289
102,0.0158951848540478
103,0.0150623609148995
104,0.0142386630227488
105,0.0134276677541595
106,0.0126413768685662
107,0.0118871016673423
108,0.0111667076203131
109,0.0104801630888227
110,0.00983354070744971
111,0.009227465479369
112,0.008659647682181271
113,0.00812677154764877
114,0.0076258307734304595
115,0.007156327120902341
116,0.0067183875276099
117,0.00631145201135696
118,0.0059337409029103
119,0.005583417633556739
120,0.0052584508354753794
121,0.00495449730676023
122,0.00466965504268225
123,0.0044042790962891395
124,0.00415724728596945
125,0.003925810466639979
126,0.00370756126445844
127,0.0035021117280562898
128,0.00331046543845193
129,0.00313031941504457
130,0.00296008017841317
131,0.0028008712925210104
132,0.00264993991869351
133,0.00250782891041297
134,0.0023745849919953803
135,0.00225004093440267
136,0.00213388804439532
137,0.00202477514393283
138,0.0019215522267634
139,0.0018246523893824102
140,0.00173393592435213
141,0.00164851798994809
142,0.00156754719646428
143,0.00149055300823865
144,0.00141765641054754
145,0.0013484949821248
146,0.0012828948598723401
147,0.00122062412351313
148,0.0011612165002646401
149,0.00110475924229039
150,0.0010513475234148301
151,0.0010009748928278
152,0.0009535946999829971
153,0.0009090475517680589
154,0.0008669218380942889
155,0.000826880246429796
156,0.000789007192260005
157,0.000753229072544348
158,0.0007193665672387059
159,0.000687052943493538
160,0.000656151261188187
161,0.000627061944352093
162,0.000599203946696189
163,0.0005725619289699111
164,0.000547177285903084
165,0.000522927441422925
166,0.000499810145590989
167,0.00047783945673996505
168,0.000456994731511238
169,0.000437278199757275
170,0.000418615534876496
171,0.000400756434565829
172,0.00038367476779993103
173,0.000367448009273168
174,0.00035202172506104
175,0.000337308658897544
176,0.000323197246192143
177,0.0003096710919611
178,0.000296754617310345
179,0.00028439519375274703
180,0.000272558881149104
181,0.000261234678429156
182,0.000250377800548982
183,0.000240008618433971
184,0.000230135745818195
185,0.00022075496383506298
186,0.000211852654894121
187,0.000203386926097559
188,0.000195281784982732
189,0.00018754664709763
190,0.000180185015989123
191,0.000173163674191965
192,0.000166447988263495
193,0.000160003405252228
194,0.00015383146394570702
195,0.000147991288996704
196,0.000142366838621808
197,0.00013696358971181598
198,0.00013180300291981998
199,0.000126850601625893
200,0.00012211800665310602
201,0.000117610616352768
202,0.000113338620883037
203,0.000109302675546229
204,0.00010546002895420501
205,0.000101751867191506
206,9.82073488593708e-05
207,9.48414545839628e-05
208,9.16329449977912e-05
209,8.85567020965538e-05
210,8.56041999331017e-05
211,8.27912854375625e-05
212,8.01142950073511e-05
213,7.75659583287482e-05
214,7.51378976043399e-05
215,7.28262490953953e-05
216,7.06192180907572e-05
217,6.85169572808666e-05
218,6.652173988759979e-05
219,6.46389375104887e-05
220,6.28711271787477e-05
221,6.12193442680338e-05
222,5.96840386177934e-05
223,5.8253609155495705e-05
224,5.6897295941636e-05
225,5.56177621557016e-05
226,5.44275525544118e-05
227,5.33221078857655e-05
228,5.23038444460877e-05
229,5.13511026801025e-05
230,5.0451922573824e-05
231,4.85135287945032e-05
232,4.63340836911149e-05
233,4.40640940499795e-05
234,4.17225823879427e-05
235,3.93353778426478e-05
236,3.69496595117671e-05
237,3.46164505042853e-05
238,3.23530378978983e-05
239,3.01275893152459e-05
240,2.7882352759742304e-05
241,2.5553774057612303e-05
